,Id,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
918,918,33,male,2,own,moderate,little,2359,24,furniture/equipment,bad
919,919,39,male,3,rent,little,little,3345,24,furniture/equipment,bad
922,922,22,female,2,rent,little,little,1366,9,radio/TV,bad
923,923,30,male,2,rent,little,moderate,2002,12,car,good
924,924,55,male,2,own,little,little,6872,24,furniture/equipment,bad
925,925,46,male,2,own,little,little,697,12,car,bad
926,926,21,female,2,rent,little,little,1049,18,furniture/equipment,good
927,927,39,male,2,free,little,little,10297,48,car,bad
929,929,43,male,1,own,little,little,1344,12,car,good
930,930,24,male,1,own,little,little,1747,24,furniture/equipment,good
931,931,22,female,2,own,little,moderate,1670,9,radio/TV,bad
934,934,23,female,2,own,little,little,1498,12,radio/TV,good
935,935,30,male,3,own,moderate,moderate,1919,30,radio/TV,bad
936,936,28,female,1,own,little,rich,745,9,radio/TV,bad
937,937,30,male,3,rent,little,moderate,2063,6,radio/TV,good
938,938,42,male,2,free,little,moderate,6288,54,education,bad
944,944,46,female,2,rent,little,little,1845,15,furniture/equipment,good
945,945,30,female,2,own,quite rich,moderate,8358,48,car,good
946,946,30,male,2,free,quite rich,little,3349,24,furniture/equipment,bad
950,950,40,male,0,own,little,moderate,3590,18,business,good
951,951,24,male,2,own,little,little,2145,36,business,bad
952,952,28,female,2,rent,quite rich,moderate,4113,24,car,bad
954,954,29,female,2,own,little,little,1893,12,car,good
955,955,57,female,3,rent,rich,little,1231,24,radio/TV,good
957,957,37,male,1,own,little,moderate,1154,9,radio/TV,good
958,958,45,male,1,own,little,little,4006,28,car,bad
959,959,30,male,2,free,moderate,moderate,3069,24,furniture/equipment,good
961,961,47,male,2,own,little,moderate,2353,21,car,good
964,964,22,male,1,own,little,moderate,454,6,repairs,good
966,966,23,male,1,own,quite rich,moderate,2520,27,radio/TV,bad
969,969,40,male,1,own,little,little,3939,11,car,good
970,970,22,male,2,own,moderate,moderate,1514,15,repairs,good
972,972,29,female,0,rent,little,little,1193,24,car,bad
973,973,36,male,2,rent,little,little,7297,54,business,bad
975,975,57,female,1,own,quite rich,rich,1258,24,radio/TV,good
976,976,64,female,2,own,little,moderate,753,6,radio/TV,good
979,979,25,male,2,rent,moderate,moderate,1264,15,car,bad
980,980,49,male,2,own,little,moderate,8386,30,furniture/equipment,bad
982,982,28,female,3,own,moderate,rich,2923,21,car,good
983,983,26,male,2,own,little,little,8229,36,car,bad
985,985,25,female,2,rent,little,little,1433,15,furniture/equipment,good
986,986,33,male,2,own,little,rich,6289,42,business,good
988,988,29,male,3,free,little,little,6579,24,car,good
989,989,48,male,1,own,little,moderate,1743,24,radio/TV,good
993,993,30,male,3,own,little,little,3959,36,furniture/equipment,good
996,996,40,male,3,own,little,little,3857,30,car,good
998,998,23,male,2,free,little,little,1845,45,radio/TV,bad
999,999,27,male,2,own,moderate,moderate,4576,45,car,good
