,has_null,wave,gender,age,age_o,d_age,d_d_age,race,race_o,samerace,importance_same_race,importance_same_religion,d_importance_same_race,d_importance_same_religion,field,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,d_pref_o_attractive,d_pref_o_sincere,d_pref_o_intelligence,d_pref_o_funny,d_pref_o_ambitious,d_pref_o_shared_interests,attractive_o,sinsere_o,intelligence_o,funny_o,ambitous_o,shared_interests_o,d_attractive_o,d_sinsere_o,d_intelligence_o,d_funny_o,d_ambitous_o,d_shared_interests_o,attractive_important,sincere_important,intellicence_important,funny_important,ambtition_important,shared_interests_important,d_attractive_important,d_sincere_important,d_intellicence_important,d_funny_important,d_ambtition_important,d_shared_interests_important,attractive,sincere,intelligence,funny,ambition,d_attractive,d_sincere,d_intelligence,d_funny,d_ambition,attractive_partner,sincere_partner,intelligence_partner,funny_partner,ambition_partner,shared_interests_partner,d_attractive_partner,d_sincere_partner,d_intelligence_partner,d_funny_partner,d_ambition_partner,d_shared_interests_partner,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,d_sports,d_tvsports,d_exercise,d_dining,d_museums,d_art,d_hiking,d_gaming,d_clubbing,d_reading,d_tv,d_theater,d_movies,d_concerts,d_music,d_shopping,d_yoga,interests_correlate,d_interests_correlate,expected_happy_with_sd_people,expected_num_interested_in_me,expected_num_matches,d_expected_happy_with_sd_people,d_expected_num_interested_in_me,d_expected_num_matches,like,guess_prob_liked,d_like,d_guess_prob_liked,met,decision,decision_o,match
1124,0,4,female,25.0,32.0,7,[7-37],other,european/caucasian-american,0,2.0,7.0,[2-5],[6-10],elementary/childhood education [ma],30.0,10.0,30.0,20.0,10.0,0.0,[21-100],[0-15],[21-100],[16-20],[0-15],[0-15],6.0,5.0,8.0,9.0,8.0,5.0,[6-8],[0-5],[6-8],[9-10],[6-8],[0-5],20.0,20.0,20.0,20.0,10.0,10.0,[16-20],[16-20],[16-20],[16-20],[0-15],[0-15],8.0,9.0,8.0,8.0,7.0,[6-8],[9-10],[6-8],[6-8],[6-8],4.0,10.0,9.0,6.0,8.0,6.0,[0-5],[9-10],[9-10],[6-8],[6-8],[6-8],5.0,5.0,5.0,8.0,9.0,10.0,9.0,1.0,7.0,8.0,6.0,8.0,8.0,8.0,9.0,6.0,7.0,[0-5],[0-5],[0-5],[6-8],[9-10],[9-10],[9-10],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],-0.01,[-1-0],7.0,2.0,5.0,[7-10],[0-3],[3-5],7.0,8.0,[6-8],[7-10],0.0,0,1,0
1125,0,4,female,25.0,26.0,1,[0-1],other,european/caucasian-american,0,2.0,7.0,[2-5],[6-10],elementary/childhood education [ma],40.0,5.0,20.0,10.0,10.0,15.0,[21-100],[0-15],[16-20],[0-15],[0-15],[0-15],6.0,7.0,6.0,6.0,6.0,3.0,[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],20.0,20.0,20.0,20.0,10.0,10.0,[16-20],[16-20],[16-20],[16-20],[0-15],[0-15],8.0,9.0,8.0,8.0,7.0,[6-8],[9-10],[6-8],[6-8],[6-8],6.0,8.0,8.0,8.0,9.0,7.0,[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],5.0,5.0,5.0,8.0,9.0,10.0,9.0,1.0,7.0,8.0,6.0,8.0,8.0,8.0,9.0,6.0,7.0,[0-5],[0-5],[0-5],[6-8],[9-10],[9-10],[9-10],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],0.06,[0-0.33],7.0,2.0,5.0,[7-10],[0-3],[3-5],7.0,7.0,[6-8],[7-10],0.0,0,0,0
1126,0,4,female,25.0,27.0,2,[2-3],other,european/caucasian-american,0,2.0,7.0,[2-5],[6-10],elementary/childhood education [ma],20.0,15.0,25.0,15.0,20.0,5.0,[16-20],[0-15],[21-100],[0-15],[16-20],[0-15],7.0,8.0,7.0,8.0,6.0,5.0,[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],20.0,20.0,20.0,20.0,10.0,10.0,[16-20],[16-20],[16-20],[16-20],[0-15],[0-15],8.0,9.0,8.0,8.0,7.0,[6-8],[9-10],[6-8],[6-8],[6-8],8.0,9.0,9.0,7.0,8.0,7.0,[6-8],[9-10],[9-10],[6-8],[6-8],[6-8],5.0,5.0,5.0,8.0,9.0,10.0,9.0,1.0,7.0,8.0,6.0,8.0,8.0,8.0,9.0,6.0,7.0,[0-5],[0-5],[0-5],[6-8],[9-10],[9-10],[9-10],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],0.52,[0.33-1],7.0,2.0,5.0,[7-10],[0-3],[3-5],8.0,7.0,[6-8],[7-10],0.0,0,1,0
1127,0,4,female,25.0,25.0,0,[0-1],other,black/african american,0,2.0,7.0,[2-5],[6-10],elementary/childhood education [ma],30.0,15.0,20.0,20.0,0.0,5.0,[21-100],[0-15],[16-20],[16-20],[0-15],[0-15],8.0,7.0,7.0,6.0,7.0,6.0,[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],20.0,20.0,20.0,20.0,10.0,10.0,[16-20],[16-20],[16-20],[16-20],[0-15],[0-15],8.0,9.0,8.0,8.0,7.0,[6-8],[9-10],[6-8],[6-8],[6-8],7.0,9.0,9.0,10.0,9.0,8.0,[6-8],[9-10],[9-10],[9-10],[9-10],[6-8],5.0,5.0,5.0,8.0,9.0,10.0,9.0,1.0,7.0,8.0,6.0,8.0,8.0,8.0,9.0,6.0,7.0,[0-5],[0-5],[0-5],[6-8],[9-10],[9-10],[9-10],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],-0.08,[-1-0],7.0,2.0,5.0,[7-10],[0-3],[3-5],9.0,8.0,[9-10],[7-10],0.0,1,1,1
1129,0,4,female,25.0,21.0,4,[4-6],other,european/caucasian-american,0,2.0,7.0,[2-5],[6-10],elementary/childhood education [ma],19.0,24.0,21.0,23.0,5.0,8.0,[16-20],[21-100],[21-100],[21-100],[0-15],[0-15],8.0,8.0,8.0,8.0,7.0,7.5,[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],20.0,20.0,20.0,20.0,10.0,10.0,[16-20],[16-20],[16-20],[16-20],[0-15],[0-15],8.0,9.0,8.0,8.0,7.0,[6-8],[9-10],[6-8],[6-8],[6-8],7.0,10.0,9.0,10.0,8.0,9.0,[6-8],[9-10],[9-10],[9-10],[6-8],[9-10],5.0,5.0,5.0,8.0,9.0,10.0,9.0,1.0,7.0,8.0,6.0,8.0,8.0,8.0,9.0,6.0,7.0,[0-5],[0-5],[0-5],[6-8],[9-10],[9-10],[9-10],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],0.71,[0.33-1],7.0,2.0,5.0,[7-10],[0-3],[3-5],10.0,8.0,[9-10],[7-10],0.0,1,1,1
1130,0,4,female,25.0,24.0,1,[0-1],other,european/caucasian-american,0,2.0,7.0,[2-5],[6-10],elementary/childhood education [ma],10.0,20.0,35.0,20.0,0.0,15.0,[0-15],[16-20],[21-100],[16-20],[0-15],[0-15],6.0,7.0,6.0,7.0,5.0,4.0,[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],20.0,20.0,20.0,20.0,10.0,10.0,[16-20],[16-20],[16-20],[16-20],[0-15],[0-15],8.0,9.0,8.0,8.0,7.0,[6-8],[9-10],[6-8],[6-8],[6-8],7.0,10.0,10.0,10.0,8.0,10.0,[6-8],[9-10],[9-10],[9-10],[6-8],[9-10],5.0,5.0,5.0,8.0,9.0,10.0,9.0,1.0,7.0,8.0,6.0,8.0,8.0,8.0,9.0,6.0,7.0,[0-5],[0-5],[0-5],[6-8],[9-10],[9-10],[9-10],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],0.56,[0.33-1],7.0,2.0,5.0,[7-10],[0-3],[3-5],8.0,8.0,[6-8],[7-10],0.0,1,0,0
1131,0,4,female,25.0,25.0,0,[0-1],other,asian/pacific islander/asian-american,0,2.0,7.0,[2-5],[6-10],elementary/childhood education [ma],15.0,10.0,30.0,10.0,5.0,30.0,[0-15],[0-15],[21-100],[0-15],[0-15],[21-100],7.0,10.0,8.0,8.0,7.0,5.0,[6-8],[9-10],[6-8],[6-8],[6-8],[0-5],20.0,20.0,20.0,20.0,10.0,10.0,[16-20],[16-20],[16-20],[16-20],[0-15],[0-15],8.0,9.0,8.0,8.0,7.0,[6-8],[9-10],[6-8],[6-8],[6-8],6.0,10.0,10.0,8.0,8.0,8.0,[6-8],[9-10],[9-10],[6-8],[6-8],[6-8],5.0,5.0,5.0,8.0,9.0,10.0,9.0,1.0,7.0,8.0,6.0,8.0,8.0,8.0,9.0,6.0,7.0,[0-5],[0-5],[0-5],[6-8],[9-10],[9-10],[9-10],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],0.66,[0.33-1],7.0,2.0,5.0,[7-10],[0-3],[3-5],9.0,8.0,[9-10],[7-10],0.0,1,1,1
1132,0,4,female,25.0,28.0,3,[2-3],other,european/caucasian-american,0,2.0,7.0,[2-5],[6-10],elementary/childhood education [ma],20.0,20.0,15.0,15.0,5.0,25.0,[16-20],[16-20],[0-15],[0-15],[0-15],[21-100],6.0,8.0,9.0,8.0,6.0,7.0,[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],20.0,20.0,20.0,20.0,10.0,10.0,[16-20],[16-20],[16-20],[16-20],[0-15],[0-15],8.0,9.0,8.0,8.0,7.0,[6-8],[9-10],[6-8],[6-8],[6-8],7.0,8.0,8.0,9.0,8.0,6.0,[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],5.0,5.0,5.0,8.0,9.0,10.0,9.0,1.0,7.0,8.0,6.0,8.0,8.0,8.0,9.0,6.0,7.0,[0-5],[0-5],[0-5],[6-8],[9-10],[9-10],[9-10],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],0.76,[0.33-1],7.0,2.0,5.0,[7-10],[0-3],[3-5],8.0,7.0,[6-8],[7-10],0.0,0,0,0
1133,0,4,female,25.0,27.0,2,[2-3],other,asian/pacific islander/asian-american,0,2.0,7.0,[2-5],[6-10],elementary/childhood education [ma],20.0,20.0,20.0,20.0,10.0,10.0,[16-20],[16-20],[16-20],[16-20],[0-15],[0-15],5.0,6.0,5.0,5.0,5.0,3.0,[0-5],[6-8],[0-5],[0-5],[0-5],[0-5],20.0,20.0,20.0,20.0,10.0,10.0,[16-20],[16-20],[16-20],[16-20],[0-15],[0-15],8.0,9.0,8.0,8.0,7.0,[6-8],[9-10],[6-8],[6-8],[6-8],6.0,10.0,9.0,8.0,8.0,7.0,[6-8],[9-10],[9-10],[6-8],[6-8],[6-8],5.0,5.0,5.0,8.0,9.0,10.0,9.0,1.0,7.0,8.0,6.0,8.0,8.0,8.0,9.0,6.0,7.0,[0-5],[0-5],[0-5],[6-8],[9-10],[9-10],[9-10],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],0.61,[0.33-1],7.0,2.0,5.0,[7-10],[0-3],[3-5],8.0,8.0,[6-8],[7-10],0.0,0,0,0
1134,0,4,female,35.0,28.0,7,[7-37],latino/hispanic american,asian/pacific islander/asian-american,0,1.0,5.0,[0-1],[2-5],economics,20.0,20.0,20.0,10.0,10.0,20.0,[16-20],[16-20],[16-20],[0-15],[0-15],[16-20],7.0,7.0,7.0,7.0,7.0,5.0,[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],10.0,32.0,20.0,12.0,11.0,15.0,[0-15],[21-100],[16-20],[0-15],[0-15],[0-15],5.0,9.0,9.0,5.0,5.0,[0-5],[9-10],[9-10],[0-5],[0-5],4.0,6.0,7.0,6.0,9.0,8.0,[0-5],[6-8],[6-8],[6-8],[9-10],[6-8],5.0,1.0,3.0,5.0,7.0,8.0,3.0,1.0,6.0,8.0,3.0,7.0,8.0,7.0,8.0,4.0,7.0,[0-5],[0-5],[0-5],[0-5],[6-8],[6-8],[0-5],[0-5],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],0.54,[0.33-1],6.0,3.0,0.0,[5-6],[0-3],[0-2],5.0,3.0,[0-5],[0-4],0.0,0,1,0
1135,0,4,female,35.0,26.0,9,[7-37],latino/hispanic american,european/caucasian-american,0,1.0,5.0,[0-1],[2-5],economics,18.0,18.0,18.0,19.0,13.0,14.0,[16-20],[16-20],[16-20],[16-20],[0-15],[0-15],7.0,7.0,8.0,6.0,7.0,5.0,[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],10.0,32.0,20.0,12.0,11.0,15.0,[0-15],[21-100],[16-20],[0-15],[0-15],[0-15],5.0,9.0,9.0,5.0,5.0,[0-5],[9-10],[9-10],[0-5],[0-5],5.0,6.0,8.0,7.0,8.0,8.0,[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],5.0,1.0,3.0,5.0,7.0,8.0,3.0,1.0,6.0,8.0,3.0,7.0,8.0,7.0,8.0,4.0,7.0,[0-5],[0-5],[0-5],[0-5],[6-8],[6-8],[0-5],[0-5],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],0.03,[0-0.33],6.0,3.0,0.0,[5-6],[0-3],[0-2],6.0,4.0,[6-8],[0-4],0.0,0,1,0
1137,0,4,female,35.0,29.0,6,[4-6],latino/hispanic american,european/caucasian-american,0,1.0,5.0,[0-1],[2-5],economics,50.0,7.0,20.0,23.0,0.0,0.0,[21-100],[0-15],[16-20],[21-100],[0-15],[0-15],7.0,6.0,7.0,6.0,8.0,4.0,[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],10.0,32.0,20.0,12.0,11.0,15.0,[0-15],[21-100],[16-20],[0-15],[0-15],[0-15],5.0,9.0,9.0,5.0,5.0,[0-5],[9-10],[9-10],[0-5],[0-5],8.0,6.0,7.0,7.0,7.0,6.0,[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],5.0,1.0,3.0,5.0,7.0,8.0,3.0,1.0,6.0,8.0,3.0,7.0,8.0,7.0,8.0,4.0,7.0,[0-5],[0-5],[0-5],[0-5],[6-8],[6-8],[0-5],[0-5],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],0.04,[0-0.33],6.0,3.0,0.0,[5-6],[0-3],[0-2],5.0,4.0,[0-5],[0-4],0.0,0,1,0
1139,0,4,female,35.0,28.0,7,[7-37],latino/hispanic american,european/caucasian-american,0,1.0,5.0,[0-1],[2-5],economics,30.0,30.0,20.0,10.0,10.0,0.0,[21-100],[21-100],[16-20],[0-15],[0-15],[0-15],6.0,7.0,8.0,8.0,9.0,9.0,[6-8],[6-8],[6-8],[6-8],[9-10],[9-10],10.0,32.0,20.0,12.0,11.0,15.0,[0-15],[21-100],[16-20],[0-15],[0-15],[0-15],5.0,9.0,9.0,5.0,5.0,[0-5],[9-10],[9-10],[0-5],[0-5],8.0,7.0,8.0,8.0,8.0,7.0,[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],5.0,1.0,3.0,5.0,7.0,8.0,3.0,1.0,6.0,8.0,3.0,7.0,8.0,7.0,8.0,4.0,7.0,[0-5],[0-5],[0-5],[0-5],[6-8],[6-8],[0-5],[0-5],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],0.79,[0.33-1],6.0,3.0,0.0,[5-6],[0-3],[0-2],7.0,4.0,[6-8],[0-4],0.0,1,1,1
1140,0,4,female,35.0,30.0,5,[4-6],latino/hispanic american,other,0,1.0,5.0,[0-1],[2-5],economics,20.0,25.0,25.0,15.0,5.0,10.0,[16-20],[21-100],[21-100],[0-15],[0-15],[0-15],5.0,9.0,8.0,8.0,8.0,6.0,[0-5],[9-10],[6-8],[6-8],[6-8],[6-8],10.0,32.0,20.0,12.0,11.0,15.0,[0-15],[21-100],[16-20],[0-15],[0-15],[0-15],5.0,9.0,9.0,5.0,5.0,[0-5],[9-10],[9-10],[0-5],[0-5],4.0,8.0,7.0,4.0,5.0,3.0,[0-5],[6-8],[6-8],[0-5],[0-5],[0-5],5.0,1.0,3.0,5.0,7.0,8.0,3.0,1.0,6.0,8.0,3.0,7.0,8.0,7.0,8.0,4.0,7.0,[0-5],[0-5],[0-5],[0-5],[6-8],[6-8],[0-5],[0-5],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],0.58,[0.33-1],6.0,3.0,0.0,[5-6],[0-3],[0-2],4.0,2.0,[0-5],[0-4],0.0,0,0,0
1142,0,4,female,35.0,32.0,3,[2-3],latino/hispanic american,european/caucasian-american,0,1.0,5.0,[0-1],[2-5],economics,30.0,10.0,30.0,20.0,10.0,0.0,[21-100],[0-15],[21-100],[16-20],[0-15],[0-15],10.0,9.0,8.0,8.0,5.0,6.0,[9-10],[9-10],[6-8],[6-8],[0-5],[6-8],10.0,32.0,20.0,12.0,11.0,15.0,[0-15],[21-100],[16-20],[0-15],[0-15],[0-15],5.0,9.0,9.0,5.0,5.0,[0-5],[9-10],[9-10],[0-5],[0-5],5.0,7.0,8.0,6.0,7.0,4.0,[0-5],[6-8],[6-8],[6-8],[6-8],[0-5],5.0,1.0,3.0,5.0,7.0,8.0,3.0,1.0,6.0,8.0,3.0,7.0,8.0,7.0,8.0,4.0,7.0,[0-5],[0-5],[0-5],[0-5],[6-8],[6-8],[0-5],[0-5],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],-0.18,[-1-0],6.0,3.0,0.0,[5-6],[0-3],[0-2],6.0,3.0,[6-8],[0-4],0.0,0,1,0
1143,0,4,female,35.0,26.0,9,[7-37],latino/hispanic american,european/caucasian-american,0,1.0,5.0,[0-1],[2-5],economics,40.0,5.0,20.0,10.0,10.0,15.0,[21-100],[0-15],[16-20],[0-15],[0-15],[0-15],8.0,8.0,8.0,8.0,8.0,8.0,[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],10.0,32.0,20.0,12.0,11.0,15.0,[0-15],[21-100],[16-20],[0-15],[0-15],[0-15],5.0,9.0,9.0,5.0,5.0,[0-5],[9-10],[9-10],[0-5],[0-5],7.0,8.0,8.0,8.0,8.0,8.0,[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],5.0,1.0,3.0,5.0,7.0,8.0,3.0,1.0,6.0,8.0,3.0,7.0,8.0,7.0,8.0,4.0,7.0,[0-5],[0-5],[0-5],[0-5],[6-8],[6-8],[0-5],[0-5],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],0.0,[-1-0],6.0,3.0,0.0,[5-6],[0-3],[0-2],7.0,4.0,[6-8],[0-4],0.0,0,1,0
1144,0,4,female,35.0,27.0,8,[7-37],latino/hispanic american,european/caucasian-american,0,1.0,5.0,[0-1],[2-5],economics,20.0,15.0,25.0,15.0,20.0,5.0,[16-20],[0-15],[21-100],[0-15],[16-20],[0-15],7.0,6.0,6.0,7.0,7.0,5.0,[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],10.0,32.0,20.0,12.0,11.0,15.0,[0-15],[21-100],[16-20],[0-15],[0-15],[0-15],5.0,9.0,9.0,5.0,5.0,[0-5],[9-10],[9-10],[0-5],[0-5],7.0,8.0,8.0,6.0,6.0,6.0,[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],5.0,1.0,3.0,5.0,7.0,8.0,3.0,1.0,6.0,8.0,3.0,7.0,8.0,7.0,8.0,4.0,7.0,[0-5],[0-5],[0-5],[0-5],[6-8],[6-8],[0-5],[0-5],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],0.51,[0.33-1],6.0,3.0,0.0,[5-6],[0-3],[0-2],3.0,3.0,[0-5],[0-4],0.0,0,1,0
1145,0,4,female,35.0,25.0,10,[7-37],latino/hispanic american,black/african american,0,1.0,5.0,[0-1],[2-5],economics,30.0,15.0,20.0,20.0,0.0,5.0,[21-100],[0-15],[16-20],[16-20],[0-15],[0-15],8.0,9.0,8.0,7.0,5.0,8.0,[6-8],[9-10],[6-8],[6-8],[0-5],[6-8],10.0,32.0,20.0,12.0,11.0,15.0,[0-15],[21-100],[16-20],[0-15],[0-15],[0-15],5.0,9.0,9.0,5.0,5.0,[0-5],[9-10],[9-10],[0-5],[0-5],5.0,10.0,8.0,8.0,8.0,8.0,[0-5],[9-10],[6-8],[6-8],[6-8],[6-8],5.0,1.0,3.0,5.0,7.0,8.0,3.0,1.0,6.0,8.0,3.0,7.0,8.0,7.0,8.0,4.0,7.0,[0-5],[0-5],[0-5],[0-5],[6-8],[6-8],[0-5],[0-5],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],0.09,[0-0.33],6.0,3.0,0.0,[5-6],[0-3],[0-2],4.0,3.0,[0-5],[0-4],0.0,0,1,0
1146,0,4,female,35.0,22.0,13,[7-37],latino/hispanic american,latino/hispanic american,1,1.0,5.0,[0-1],[2-5],economics,10.0,20.0,35.0,10.0,5.0,20.0,[0-15],[16-20],[21-100],[0-15],[0-15],[16-20],10.0,10.0,10.0,10.0,10.0,10.0,[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],10.0,32.0,20.0,12.0,11.0,15.0,[0-15],[21-100],[16-20],[0-15],[0-15],[0-15],5.0,9.0,9.0,5.0,5.0,[0-5],[9-10],[9-10],[0-5],[0-5],5.0,8.0,8.0,8.0,8.0,8.0,[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],5.0,1.0,3.0,5.0,7.0,8.0,3.0,1.0,6.0,8.0,3.0,7.0,8.0,7.0,8.0,4.0,7.0,[0-5],[0-5],[0-5],[0-5],[6-8],[6-8],[0-5],[0-5],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],0.17,[0-0.33],6.0,3.0,0.0,[5-6],[0-3],[0-2],4.0,3.0,[0-5],[0-4],0.0,0,1,0
1147,0,4,female,35.0,21.0,14,[7-37],latino/hispanic american,european/caucasian-american,0,1.0,5.0,[0-1],[2-5],economics,19.0,24.0,21.0,23.0,5.0,8.0,[16-20],[21-100],[21-100],[21-100],[0-15],[0-15],9.0,10.0,9.0,8.0,7.0,6.5,[9-10],[9-10],[9-10],[6-8],[6-8],[6-8],10.0,32.0,20.0,12.0,11.0,15.0,[0-15],[21-100],[16-20],[0-15],[0-15],[0-15],5.0,9.0,9.0,5.0,5.0,[0-5],[9-10],[9-10],[0-5],[0-5],8.0,8.0,8.0,7.0,5.0,8.0,[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],5.0,1.0,3.0,5.0,7.0,8.0,3.0,1.0,6.0,8.0,3.0,7.0,8.0,7.0,8.0,4.0,7.0,[0-5],[0-5],[0-5],[0-5],[6-8],[6-8],[0-5],[0-5],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],0.72,[0.33-1],6.0,3.0,0.0,[5-6],[0-3],[0-2],4.0,3.0,[0-5],[0-4],0.0,1,1,1
1148,0,4,female,35.0,24.0,11,[7-37],latino/hispanic american,european/caucasian-american,0,1.0,5.0,[0-1],[2-5],economics,10.0,20.0,35.0,20.0,0.0,15.0,[0-15],[16-20],[21-100],[16-20],[0-15],[0-15],6.0,7.0,5.0,7.0,6.0,4.0,[6-8],[6-8],[0-5],[6-8],[6-8],[0-5],10.0,32.0,20.0,12.0,11.0,15.0,[0-15],[21-100],[16-20],[0-15],[0-15],[0-15],5.0,9.0,9.0,5.0,5.0,[0-5],[9-10],[9-10],[0-5],[0-5],5.0,7.0,9.0,6.0,7.0,5.0,[0-5],[6-8],[9-10],[6-8],[6-8],[0-5],5.0,1.0,3.0,5.0,7.0,8.0,3.0,1.0,6.0,8.0,3.0,7.0,8.0,7.0,8.0,4.0,7.0,[0-5],[0-5],[0-5],[0-5],[6-8],[6-8],[0-5],[0-5],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],0.83,[0.33-1],6.0,3.0,0.0,[5-6],[0-3],[0-2],5.0,4.0,[0-5],[0-4],0.0,0,0,0
1149,0,4,female,35.0,25.0,10,[7-37],latino/hispanic american,asian/pacific islander/asian-american,0,1.0,5.0,[0-1],[2-5],economics,15.0,10.0,30.0,10.0,5.0,30.0,[0-15],[0-15],[21-100],[0-15],[0-15],[21-100],7.0,10.0,8.0,7.0,7.0,5.0,[6-8],[9-10],[6-8],[6-8],[6-8],[0-5],10.0,32.0,20.0,12.0,11.0,15.0,[0-15],[21-100],[16-20],[0-15],[0-15],[0-15],5.0,9.0,9.0,5.0,5.0,[0-5],[9-10],[9-10],[0-5],[0-5],4.0,8.0,8.0,9.0,6.0,8.0,[0-5],[6-8],[6-8],[9-10],[6-8],[6-8],5.0,1.0,3.0,5.0,7.0,8.0,3.0,1.0,6.0,8.0,3.0,7.0,8.0,7.0,8.0,4.0,7.0,[0-5],[0-5],[0-5],[0-5],[6-8],[6-8],[0-5],[0-5],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],0.81,[0.33-1],6.0,3.0,0.0,[5-6],[0-3],[0-2],6.0,3.0,[6-8],[0-4],0.0,0,1,0
1151,0,4,female,35.0,27.0,8,[7-37],latino/hispanic american,asian/pacific islander/asian-american,0,1.0,5.0,[0-1],[2-5],economics,20.0,20.0,20.0,20.0,10.0,10.0,[16-20],[16-20],[16-20],[16-20],[0-15],[0-15],3.0,7.0,6.0,7.0,5.0,8.0,[0-5],[6-8],[6-8],[6-8],[0-5],[6-8],10.0,32.0,20.0,12.0,11.0,15.0,[0-15],[21-100],[16-20],[0-15],[0-15],[0-15],5.0,9.0,9.0,5.0,5.0,[0-5],[9-10],[9-10],[0-5],[0-5],4.0,8.0,6.0,8.0,7.0,8.0,[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],5.0,1.0,3.0,5.0,7.0,8.0,3.0,1.0,6.0,8.0,3.0,7.0,8.0,7.0,8.0,4.0,7.0,[0-5],[0-5],[0-5],[0-5],[6-8],[6-8],[0-5],[0-5],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],0.4,[0.33-1],6.0,3.0,0.0,[5-6],[0-3],[0-2],4.0,3.0,[0-5],[0-4],0.0,0,0,0
1152,0,4,female,32.0,28.0,4,[4-6],latino/hispanic american,asian/pacific islander/asian-american,0,1.0,1.0,[0-1],[0-1],microbiology,20.0,20.0,20.0,10.0,10.0,20.0,[16-20],[16-20],[16-20],[0-15],[0-15],[16-20],6.0,7.0,6.0,6.0,6.0,5.0,[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],30.0,30.0,30.0,5.0,0.0,5.0,[21-100],[21-100],[21-100],[0-15],[0-15],[0-15],7.0,9.0,7.0,8.0,5.0,[6-8],[9-10],[6-8],[6-8],[0-5],1.0,5.0,0.0,10.0,0.0,3.0,[0-5],[0-5],[0-5],[9-10],[0-5],[0-5],7.0,1.0,9.0,9.0,9.0,9.0,3.0,1.0,9.0,9.0,1.0,9.0,10.0,9.0,9.0,5.0,5.0,[6-8],[0-5],[9-10],[9-10],[9-10],[9-10],[0-5],[0-5],[9-10],[9-10],[0-5],[9-10],[9-10],[9-10],[9-10],[0-5],[0-5],0.65,[0.33-1],7.0,5.0,2.0,[7-10],[4-9],[0-2],0.0,3.0,[0-5],[0-4],0.0,0,0,0
